2020/02/05 20:27:22.647 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905642 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905642 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905642 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905640 3}]
2020/02/05 20:27:22.649 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905642 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905642 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905642 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905640 3}]}
2020/02/05 20:27:24.626 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:24.627 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905644 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905642 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905644 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905642 3}]
2020/02/05 20:27:24.628 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905644 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905642 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905644 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905642 3}]}
2020/02/05 20:27:25.235 [I] [table.go:195]  产生了5条鱼
2020/02/05 20:27:26.658 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:26.660 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905646 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905644 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905646 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905644 3}]
2020/02/05 20:27:26.661 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905646 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905644 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905646 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905644 3}]}
2020/02/05 20:27:27.217 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:27:28.235 [I] [table.go:195]  产生了4条鱼
2020/02/05 20:27:28.642 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:28.642 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905648 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905648 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905648 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905646 3}]
2020/02/05 20:27:28.644 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905648 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905648 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905648 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905646 3}]}
2020/02/05 20:27:29.758 [I] [masterclientrouter.go:23]  Pong:MasterClient.Pong
2020/02/05 20:27:30.623 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:30.625 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905650 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905648 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905650 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905648 3}]
2020/02/05 20:27:30.627 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905650 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905648 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905650 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905648 3}]}
2020/02/05 20:27:31.232 [I] [table.go:195]  产生了18条鱼
2020/02/05 20:27:32.656 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:32.658 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905652 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905650 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905652 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905650 3}]
2020/02/05 20:27:32.659 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905652 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905650 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905652 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905650 3}]}
2020/02/05 20:27:33.977 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:27:33.977 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:27:33.977 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:33.979 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905652 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905652 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905652 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905652 3}]
2020/02/05 20:27:33.980 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905652 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905652 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905652 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905652 3}]}
2020/02/05 20:27:34.638 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
